Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Abilene Christian University,3,4,Private,Southwest,Mid-size City,0.4894,24,1087,3647,0.7069,0.076,0.1206,0.0099,0.0036,0.0005,0.0373,0.0417,0.0398,39811,8737,5508,0.9204,0.2347,0.5637,0.7941,0.0381,7.5,20698.5,26237.5,9500,0.970000029,0.439999998,20.22999954,86392,75873.5,7.800000191,130,1327,39800,37200
Adams State University,3,4,Public,Rocky Mountains,Remote Town,0.526,20,939,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,0.04,0,0.1612,17759,7996,5986,0.5088,0.5029,0.227,0.5592,0.2106,9.3,11000,0,11000,0.829999983,0.730000019,24.12999916,45711.23,34243,11.84000015,99,752,33600,30700
Adelphi University,3,4,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,5000,0.5296,0.1062,0.1336,0.0756,0.0016,0.002,0.022,0.0396,0.0952,41559,12142,11315,0.3203,0.2951,0.6251,0.8112,0.1562,3.7,21325,25000,13000,0.949999988,0.449999988,23.12999916,74831.68,54115,7.46999979,152,1524,52200,49400
Adrian College,3,3,Private,Great Lakes,Distant Town,0.5628,22,1007,1616,0.7605,0.1002,0.0217,0.0056,0.0037,0.0006,0.0384,0.0006,0.021,40199,7091,7453,0.4767,0.4368,0.5445,0.5811,0.023,7.7,14250,27000,7655,0.99000001,0.479999989,19.62999916,77959.35,71008.5,5.710000038,34,393,35000,33800
Adventist University of Health Sciences,3,4,Private,Southeast,Mid-size City,0.1336,19,884,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,0.7108,21358,8382,6539,0.988,0.3595,0.3953,0.7143,0.6056,5.4,15236,20730,9788,0.899999976,0.5,28.70999908,58585.71,49657.5,8.300000191,49,587,52400,51800
AIB College of Business,3,3,Private,Great Plains,Mid-size City,0.6887,0,0,1007,0.6306,0.0497,0.0586,0.0189,0.006,0.003,0.0218,0.0278,0.2741,22469,3208,4706,1,0.3635,0.6054,0,0.3209,7.9,13125,20500,7125,0.949999988,0.519999981,22.76000023,56250.95,53783,5.639999866,47,585,34900,34200
Alabama A & M University,3,4,Public,Southeast,Mid-size City,0.8989,17,823,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0622,18888,7459,7079,0.8856,0.7115,0.2914,0.6314,0.1049,16.3,19500,33611.5,14250,0.930000007,0.810000002,20.62999916,40211.22,29039,14.88000011,221,1491,30300,27000
Alabama State University,3,4,Public,Southeast,Mid-size City,0.5125,17,830,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0902,17400,7393,6557,0.6641,0.8265,0.2517,0.6219,0.127,19.1,15854.5,33452,12500,0.939999998,0.850000024,20.88999939,31846.99,24029.5,16.95999908,274,1732,26400,22400
Albany College of Pharmacy and Health Sciences,3,4,Private,Mid-Atlantic,Small City,0.634,27,1195,1075,0.6633,0.0381,0.0484,0.1284,0.0028,0.0019,0.0084,0.0586,0.0167,40718,11879,8530,0.7703,0.2215,0.7235,0.8097,0.1039,1,24930.5,25000,15000,0.99000001,0.280000001,21.05999947,87171.28,80225,7.650000095,9,403,110300,125600
Albany State University,3,4,Public,Southeast,Small City,0.1992,19,887,3566,0.0443,0.91,0.0095,0.0017,0.0014,0.0003,0.002,0.0025,0.1551,19025,7089,5607,0.8679,0.7229,0.4249,0.697,0.2396,18,24500,31750,17250,0.910000026,0.810000002,22.45999908,40236.45,29794,14.09000015,106,783,30700,27900
